meta_id,post_id,"meta_key","meta_value"
2588,329,"_wp_attachment_image_alt","Dottie Myers-Hill, Camp Director"
2589,331,"profile_image","329"
2590,331,"_profile_image","field_570264a0d3459"
2591,56,"profile_image","329"
2592,56,"_profile_image","field_570264a0d3459"
2593,333,"_edit_lock","1460373482:1"
2594,354,"_edit_lock","1460116141:1"
2595,354,"_edit_last","1"
2596,412,"_wp_attached_file","2016/04/calendar.png"
2597,412,"_wp_attachment_metadata","a:5:{s:5:\"width\";i:190;s:6:\"height\";i:145;s:4:\"file\";s:20:\"2016/04/calendar.png\";s:5:\"sizes\";a:1:{s:9:\"thumbnail\";a:4:{s:4:\"file\";s:20:\"calendar-150x145.png\";s:5:\"width\";i:150;s:6:\"height\";i:145;s:9:\"mime-type\";s:9:\"image/png\";}}s:10:\"image_meta\";a:12:{s:8:\"aperture\";s:1:\"0\";s:6:\"credit\";s:0:\"\";s:6:\"camera\";s:0:\"\";s:7:\"caption\";s:0:\"\";s:17:\"created_timestamp\";s:1:\"0\";s:9:\"copyright\";s:0:\"\";s:12:\"focal_length\";s:1:\"0\";s:3:\"iso\";s:1:\"0\";s:13:\"shutter_speed\";s:1:\"0\";s:5:\"title\";s:0:\"\";s:11:\"orientation\";s:1:\"0\";s:8:\"keywords\";a:0:{}}}"
2598,412,"_wp_attachment_image_alt","VBYC Summer Schedule"
2599,415,"primary_promo_0_image","412"
2600,415,"_primary_promo_0_image","field_5704183f3bf6a"
2601,415,"primary_promo_0_headline","Find a session for your child"
2602,415,"_primary_promo_0_headline","field_570417db3bf68"
2603,415,"primary_promo_0_description","Whether your camper is six and hesitant to leave the nest, or fifteen and ready to fly the coop, we have a camp experience designed to help them take flight."
2604,415,"_primary_promo_0_description","field_570418143bf69"
2605,415,"primary_promo_0_link_label","View Schedule "
2606,415,"_primary_promo_0_link_label","field_5704196c6f372"
2607,415,"primary_promo_0_link","24"
2608,415,"_primary_promo_0_link","field_5704186a3bf6b"
2609,415,"primary_promo","1"
2610,415,"_primary_promo","field_570417c73bf67"
2611,322,"primary_promo_0_image","412"
2612,322,"_primary_promo_0_image","field_5704183f3bf6a"
